,text
32,ж.м. Железнодорожный ул. Жамбыл Жабаев д. 26
33,ж.м. Железнодорожный ул. Жамбыл Жабаев д. 29
34,ж.м. Железнодорожный ул. Маяковского д. 2
35,ж.м. Железнодорожный ул. Маяковского д. 3
36,ж.м. Железнодорожный ул. Маяковского д. 3А
37,ж.м. Железнодорожный ул. Маяковского д. 3/1
38,ж.м. Железнодорожный ул. Маяковского д. 4
39,ж.м. Железнодорожный ул. Маяковского д. 4А
40,ж.м. Железнодорожный ул. Маяковского д. 5
41,ж.м. Железнодорожный ул. Маяковского д. 5А
42,ж.м. Железнодорожный ул. Маяковского д. 6
43,ж.м. Железнодорожный ул. Маяковского д. 7
44,ж.м. Железнодорожный ул. СМУ-1 д. 5
45,ж.м. Железнодорожный ул. СМУ-1 д. 9
46,ж.м. Железнодорожный ул. Шалкар д. 9/4
47,ж.м. Железнодорожный ул. Шалкар д. 9/5
48,ж.м. Железнодорожный ул. Шалкар д. 9/6
49,ж.м. Железнодорожный ул. Шалкар д. 9/7
50,ж.м. Интернациональный пер. Ашутас д. 8
51,ж.м. Интернациональный пер. Сүткент д. 30
52,ж.м. Интернациональный пер. Сүткент д. 30/1
53,ж.м. Интернациональный ул. Армандастар д. 2/3
54,ж.м. Интернациональный ул. Армандастар д. 2/4
55,ж.м. Интернациональный ул. Бозоқ д. 33
56,ж.м. Интернациональный ул. Бозоқ д. 35
57,ж.м. Интернациональный ул. Бозоқ д. 37
58,ж.м. Интернациональный ул. Көксай д. 39
59,ж.м. Интернациональный ул. Мереке д. 7/3
60,ж.м. Интернациональный ул. Мереке д. 15
61,ж.м. Интернациональный ул. Мереке д. 22
62,ж.м. Интернациональный ул. Мереке д. 24
63,ж.м. Интернациональный ул. Нұрлыжол д. 12/1
64,ж.м. Интернациональный ул. Нұрлыжол д. 14
65,ж.м. Интернациональный ул. Нұрлыжол д. 14А
66,ж.м. Интернациональный ул. Өркениет д. 14А
67,ж.м. Интернациональный ул. Өркениет д. 14/1
68,ж.м. Казахский аул Қараөткел правая сторона жилого массива Юго-Восток ул. Алтыбақан д. 1
69,ж.м. Казахский аул Қараөткел правая сторона жилого массива Юго-Восток ул. Аманат д. 18
70,ж.м. Мичурино ул. Баканас д. 9
71,ж.м. Мичурино ул. Бастау д. 7А
72,ж.м. Мичурино ул. Бастау д. 9
73,ж.м. Мичурино ул. Бастау д. 10
74,ж.м. Мичурино ул. Бастау д. 11
75,ж.м. Мичурино ул. Бастау д. 12
76,ж.м. Мичурино ул. Бастау ст-е 12/1
77,ж.м. Промышленный пер. Наурызым д. 2
78,ж.м. Промышленный ул. Атамұра д. 1
79,ж.м. Промышленный ул. Атамұра д. 11
80,ж.м. Промышленный ул. Бакен Серикбаев д. 14
81,ж.м. Промышленный ул. Бәйшешек д. 5
82,ж.м. Промышленный ул. Қапал д. 1/1
83,ж.м. Промышленный ул. С. Н. Маркова д. 2
84,ж.м. Промышленный ул. Шалкөде д. 1
85,ж.м. Промышленный ул. Шалкөде д. 2
86,ж.м. Промышленный ул. Шалкөде д. 2Б
87,ж.м. Промышленный ул. Шалкөде д. 2/1
88,ж.м. Промышленный ул. Шалкөде д. 3
89,ж.м. Промышленный ул. Шалкөде д. 6
90,ж.м. Промышленный ул. Шалкөде д. 7
91,ж.м. Промышленный ул. Шалкөде д. 9
92,ж.м. Энергетик ул. Еренқабырға д. 14/1
93,ж.м. Энергетик ул. Еренқабырға д. 14/2
94,ж.м. Энергетик ул. Еренқабырға д. 14/3
95,ж.м. Энергетик ул. Еренқабырға д. 14/5
96,ж.м. Энергетик ул. Еренқабырға д. 14/6
97,ж.м. Энергетик ул. Романтиков д. 27
98,ж.м. Юго-Восток (левая сторона) ул. Бекарыс д. 33
99,ж.м. Юго-Восток (левая сторона) ул. Габидена Мустафина д. 40
100,ж.м. Юго-Восток (левая сторона) ул. Іле д. 30
101,ж.м. Юго-Восток (левая сторона) ул. Іле д. 30/1
102,ж.м. Юго-Восток (левая сторона) ул. Іле д. 30/2
103,ж.м. Юго-Восток (левая сторона) ул. Іле д. 32
104,ж.м. Юго-Восток (левая сторона) ул. Іле д. 33
105,ж.м. Юго-Восток (левая сторона) ул. Қобыланды Батыр д. 7
106,ж.м. Юго-Восток (левая сторона) ул. Қобыланды Батыр д. 7А
107,ж.м. Юго-Восток (левая сторона) ул. Қобыланды Батыр д. 7Б
108,ж.м. Юго-Восток (левая сторона) ул. Қобыланды Батыр д. 7В
109,ж.м. Юго-Восток (левая сторона) ул. Қобыланды Батыр д. 7Г
110,ж.м. Юго-Восток (левая сторона) ул. Қобыланды Батыр д. 7Д
111,ж.м. Юго-Восток (левая сторона) ул. Қобыланды Батыр д. 7Е
112,ж.м. Юго-Восток (левая сторона) ул. Қобыланды Батыр д. 7К
113,ж.м. Юго-Восток (левая сторона) ул. Қобыланды Батыр д. 7Л
114,ж.м. Юго-Восток (левая сторона) ул. Қобыланды Батыр д. 7М
115,ж.м. Юго-Восток (левая сторона) ул. Қобыланды Батыр д. 7Н
116,ж.м. Юго-Восток (левая сторона) ул. Лепсі д. 42
117,ж.м. Юго-Восток (левая сторона) ул. Лепсі д. 42/1
118,ж.м. Юго-Восток (левая сторона) ул. Лепсі д. 44
119,ж.м. Юго-Восток (левая сторона) ул. Лепсі д. 46
120,ж.м. Юго-Восток (правая сторона) пер. Жайдарман д. 1
121,ж.м. Юго-Восток (правая сторона) пер. Нұрлы д. 2
122,ж.м. Юго-Восток (правая сторона) пер. Сартау д. 16
123,ж.м. Юго-Восток (правая сторона) ул. Айнакөл д. 54А
124,ж.м. Юго-Восток (правая сторона) ул. Айнакөл д. 56
125,ж.м. Юго-Восток (правая сторона) ул. Айнакөл д. 56/1
126,ж.м. Юго-Восток (правая сторона) ул. Айнакөл д. 58
127,ж.м. Юго-Восток (правая сторона) ул. Айнакөл д. 58/1
128,ж.м. Юго-Восток (правая сторона) ул. Айнакөл д. 60
129,ж.м. Юго-Восток (правая сторона) ул. Айнакөл д. 62
130,ж.м. Юго-Восток (правая сторона) ул. Айнакөл д. 62/1
131,ж.м. Юго-Восток (правая сторона) ул. Айнакөл д. 66
132,ж.м. Юго-Восток (правая сторона) ул. Ақыртас д. 1/1
133,ж.м. Юго-Восток (правая сторона) ул. Ақыртас д. 3
134,ж.м. Юго-Восток (правая сторона) ул. Балқантау д. 92
135,ж.м. Юго-Восток (правая сторона) ул. Балқантау д. 94
136,ж.м. Юго-Восток (правая сторона) ул. Дауылпаз д. 7/2
137,ж.м. Юго-Восток (правая сторона) ул. Жанкент д. 55
138,ж.м. Юго-Восток (правая сторона) ул. Жанкент д. 123
139,ж.м. Юго-Восток (правая сторона) ул. Жанкент д. 139
140,ж.м. Юго-Восток (правая сторона) ул. Қордай д. 2
141,ж.м. Юго-Восток (правая сторона) ул. Қордай д. 75
142,ж.м. Юго-Восток (правая сторона) ул. Қордай д. 77
143,ж.м. Юго-Восток (правая сторона) ул. Қордай д. 79
144,ж.м. Юго-Восток (правая сторона) ул. Қордай д. 79А
145,ж.м. Юго-Восток (правая сторона) ул. Қордай д. 81
146,ж.м. Юго-Восток (правая сторона) ул. Қордай д. 83
147,ж.м. Юго-Восток (правая сторона) ул. Қордай д. 85
148,ж.м. Юго-Восток (правая сторона) ул. Қордай д. 87
149,ж.м. Юго-Восток (правая сторона) ул. Қордай д. 97
150,ж.м. Юго-Восток (правая сторона) ул. Қордай д. 99
151,ж.м. Юго-Восток (правая сторона) ул. Қордай д. 100
152,ж.м. Юго-Восток (правая сторона) ул. Орхон д. 53
153,ж.м. Юго-Восток (правая сторона) ул. Таскескен д. 17Б
154,ж.м. Юго-Восток (правая сторона) ул. Таскескен сооруж. 17/17
155,мкр. Аль-Фараби пр. Абылай хана д. 49/3
156,мкр. Аль-Фараби пр. Абылай хана д. 51
157,мкр. Аль-Фараби пр. Абылай хана д. 55
158,мкр. Аль-Фараби пр. Абылай хана д. 57
159,мкр. Аль-Фараби пр. Абылай хана д. 57/1
160,мкр. Аль-Фараби пр. Абылай хана д. 59
161,мкр. Аль-Фараби пр. Абылай хана д. 59А
162,мкр. Аль-Фараби пр. Абылай хана д. 59/1
163,мкр. Аль-Фараби пр. Шәкәрім Құдайбердіұлы д. 19/1
164,мкр. Аль-Фараби пр. Шәкәрім Құдайбердіұлы д. 19/2
165,мкр. Аль-Фараби пр. Шәкәрім Құдайбердіұлы д. 19/3
166,мкр. Аль-Фараби пр. Шәкәрім Құдайбердіұлы д. 28
167,мкр. Аль-Фараби пр. Шәкәрім Құдайбердіұлы д. 30
168,мкр. Аль-Фараби пр. Шәкәрім Құдайбердіұлы д. 30/1
169,мкр. Аль-Фараби пр. Шәкәрім Құдайбердіұлы д. 32
170,мкр. Аль-Фараби пр. Шәкәрім Құдайбердіұлы д. 36/2
171,мкр. Аль-Фараби пр. Шәкәрім Құдайбердіұлы д. 36/3
172,мкр. Аль-Фараби пр. Шәкәрім Құдайбердіұлы д. 38
173,мкр. Аль-Фараби пр. Шәкәрім Құдайбердіұлы д. 40
174,мкр. Аль-Фараби пр. Шәкәрім Құдайбердіұлы д. 42
175,мкр. Аль-Фараби пр. Шәкәрім Құдайбердіұлы д. 44
176,мкр. Аль-Фараби пр. Шәкәрім Құдайбердіұлы д. 46
177,мкр. Аль-Фараби ул. Габидена Мустафина д. 1
178,мкр. Аль-Фараби ул. Габидена Мустафина д. 1/2
179,мкр. Аль-Фараби ул. Габидена Мустафина д. 1/3
180,мкр. Аль-Фараби ул. Габидена Мустафина д. 3
181,мкр. Аль-Фараби ул. Габидена Мустафина д. 3/1
182,мкр. Аль-Фараби ул. Габидена Мустафина д. 3/2
183,мкр. Аль-Фараби ул. Габидена Мустафина д. 3/3
184,мкр. Аль-Фараби ул. Габидена Мустафина д. 5
185,мкр. Аль-Фараби ул. Габидена Мустафина д. 5/1
186,мкр. Аль-Фараби ул. Габидена Мустафина д. 7/1
187,мкр. Аль-Фараби ул. Габидена Мустафина д. 7/2
188,мкр. Аль-Фараби ул. Габидена Мустафина д. 9
189,мкр. Аль-Фараби ул. Габита Мусрепова д. 1
190,мкр. Аль-Фараби ул. Габита Мусрепова д. 2
191,мкр. Аль-Фараби ул. Габита Мусрепова д. 2/1
192,мкр. Аль-Фараби ул. Габита Мусрепова д. 2/2
193,мкр. Аль-Фараби ул. Габита Мусрепова д. 4
194,мкр. Аль-Фараби ул. Габита Мусрепова д. 4/2
195,мкр. Аль-Фараби ул. Габита Мусрепова д. 5
196,мкр. Аль-Фараби ул. Габита Мусрепова д. 5/1
197,мкр. Аль-Фараби ул. Габита Мусрепова д. 5/2
198,мкр. Аль-Фараби ул. Габита Мусрепова д. 6
199,мкр. Аль-Фараби ул. Габита Мусрепова д. 6/1
200,мкр. Аль-Фараби ул. Габита Мусрепова д. 6/2
201,мкр. Аль-Фараби ул. Габита Мусрепова д. 6/3
202,мкр. Аль-Фараби ул. Габита Мусрепова д. 6/4
203,мкр. Аль-Фараби ул. Габита Мусрепова д. 7
204,мкр. Аль-Фараби ул. Габита Мусрепова д. 7/1
205,мкр. Аль-Фараби ул. Габита Мусрепова д. 7/2
206,мкр. Аль-Фараби ул. Габита Мусрепова д. 7/3
207,мкр. Аль-Фараби ул. Габита Мусрепова д. 9
208,мкр. Аль-Фараби ул. Габита Мусрепова д. 10
209,мкр. Аль-Фараби ул. Габита Мусрепова д. 10/2
210,мкр. Аль-Фараби ул. Габита Мусрепова д. 10/3
211,мкр. Аль-Фараби ул. Габита Мусрепова д. 12
212,мкр. Аль-Фараби ул. Габита Мусрепова д. 14
213,мкр. Аль-Фараби ул. Габита Мусрепова д. 14/1
214,мкр. Аль-Фараби ул. Кайрата Рыскулбекова д. 4
215,мкр. Аль-Фараби ул. Кайрата Рыскулбекова д. 4/1
216,мкр. Аль-Фараби ул. Кайрата Рыскулбекова д. 4/2
217,мкр. Аль-Фараби ул. Кайрата Рыскулбекова д. 4/3
218,мкр. Аль-Фараби ул. Кайрата Рыскулбекова д. 6
219,мкр. Аль-Фараби ул. Кайрата Рыскулбекова д. 6А
220,мкр. Аль-Фараби ул. Кайрата Рыскулбекова д. 7
221,мкр. Аль-Фараби ул. Кайрата Рыскулбекова д. 7/1
222,мкр. Аль-Фараби ул. Кайрата Рыскулбекова д. 8
223,мкр. Аль-Фараби ул. Кайрата Рыскулбекова д. 8А
224,мкр. Аль-Фараби ул. Кайрата Рыскулбекова д. 8/1
225,мкр. Аль-Фараби ул. Кайрата Рыскулбекова д. 8/2
226,мкр. Аль-Фараби ул. Кайрата Рыскулбекова д. 9
227,мкр. Аль-Фараби ул. Кайрата Рыскулбекова д. 11/2
228,мкр. Аль-Фараби ул. Кайрата Рыскулбекова д. 11/3
229,мкр. Аль-Фараби ул. Кайрата Рыскулбекова д. 13
230,мкр. Аль-Фараби ул. Кайрата Рыскулбекова д. 17
231,мкр. Аль-Фараби ул. Кайрата Рыскулбекова д. 19
232,мкр. Аль-Фараби ул. Кайрата Рыскулбекова д. 25/1
233,мкр. Аль-Фараби ул. Кайрата Рыскулбекова д. 27
234,мкр. Аль-Фараби ул. Кайрата Рыскулбекова д. 27/1
235,мкр. Аль-Фараби ул. Кайрата Рыскулбекова д. 27/2
236,мкр. Аль-Фараби ул. Кайрата Рыскулбекова д. 27/3
237,мкр. Аль-Фараби ул. Күйші Дина д. 40
238,мкр. Аль-Фараби ул. Күйші Дина д. 40/1
239,мкр. Аль-Фараби ул. Күйші Дина д. 42
240,мкр. Аль-Фараби ул. Күйші Дина д. 42/2
241,мкр. Аль-Фараби ул. Күйші Дина д. 44
242,мкр. Аль-Фараби ул. Күйші Дина д. 44/1
243,мкр. Аль-Фараби ул. Күйші Дина д. 44/2
244,мкр. Аль-Фараби ул. Күйші Дина д. 46
245,мкр. Аль-Фараби ул. Күйші Дина д. 46/1
246,мкр. Аль-Фараби ул. Күйші Дина д. 46/2
247,мкр. Аль-Фараби ул. Күйші Дина д. 46/3
248,г.к. Квартал-157 ст-е 3/10
249,г.к. Квартал-157 ст-е 5/10
250,г.к. Квартал-157 ст-е 6/11
251,г.к. Квартал-157 ст-е 7/4
252,г.к. Квартал-157 ст-е 7/11
253,г.к. Квартал-157 ст-е 25/5
254,г.к. Квартал-157 сооруж. 29/3
255,г.к. Квартал-157 сооруж. 35/1
256,г.к. Квартал-157 сооруж. 36/3
257,г.к. Квартал-157 ст-е 340/1
258,пр. Абылай хана д. 2
259,пр. Абылай хана д. 3
260,пр. Абылай хана д. 3/1
261,пр. Абылай хана д. 4
262,пр. Абылай хана д. 4/2
263,пр. Абылай хана д. 5А
264,пр. Абылай хана д. 5/1
265,пр. Абылай хана д. 5/2
266,пр. Абылай хана д. 5/3
267,пр. Абылай хана д. 6
268,пр. Абылай хана д. 6/1
269,пр. Абылай хана д. 6/2
270,пр. Абылай хана д. 6/3
271,пр. Абылай хана д. 6/4
272,пр. Абылай хана д. 6/5
273,пр. Абылай хана д. 6/7
274,пр. Абылай хана д. 9
275,пр. Абылай хана д. 9/1
276,пр. Абылай хана д. 9/2
277,пр. Абылай хана д. 10
278,пр. Абылай хана д. 11
279,пр. Абылай хана д. 11/1
280,пр. Абылай хана д. 11/2
281,пр. Абылай хана д. 11/3
282,пр. Абылай хана д. 11/4
283,пр. Абылай хана д. 12
284,пр. Абылай хана д. 12/1
285,пр. Абылай хана д. 12/2
286,пр. Абылай хана д. 12/3
287,пр. Абылай хана д. 14
288,пр. Абылай хана д. 14/1
289,пр. Абылай хана д. 14/2
290,пр. Абылай хана д. 16/1
291,пр. Абылай хана д. 17
292,пр. Абылай хана д. 17А
293,пр. Абылай хана д. 17Б
294,пр. Абылай хана д. 17/1
295,пр. Абылай хана д. 18
296,пр. Абылай хана д. 19
297,пр. Абылай хана д. 19/1
298,пр. Абылай хана д. 19/2
299,пр. Абылай хана д. 19/3
300,пр. Абылай хана д. 20А
301,пр. Абылай хана д. 20Б
302,пр. Абылай хана д. 23
303,пр. Абылай хана д. 24
304,пр. Абылай хана д. 25
305,пр. Абылай хана д. 25/1
306,пр. Абылай хана д. 25/2
307,пр. Абылай хана д. 26
308,пр. Абылай хана д. 26/1
309,пр. Абылай хана д. 27/1
310,пр. Абылай хана д. 27/4
311,пр. Абылай хана д. 28
312,пр. Абылай хана д. 29/1
313,пр. Абылай хана д. 29/2
314,пр. Абылай хана д. 32/1
315,пр. Абылай хана д. 32/2
316,пр. Абылай хана д. 33
317,пр. Абылай хана д. 36
318,пр. Абылай хана д. 36А
319,пр. Абылай хана д. 37
320,пр. Абылай хана д. 39
321,пр. Абылай хана д. 39/1
322,пр. Абылай хана д. 41
323,пр. Абылай хана д. 41/1
324,пр. Абылай хана д. 41/2
325,пр. Абылай хана д. 43/1
326,пр. Абылай хана д. 45
327,пр. Абылай хана д. 47
328,пр. Абылай хана д. 49
329,пр. Абылай хана д. 49/1
330,пр. Абылай хана д. 49/2
331,пр. Абылай хана д. 52
332,пр. Абылай хана д. 52А
333,пр. Абылай хана д. 54
334,пр. Абылай хана д. 54А
335,пр. Абылай хана д. 56
336,пр. Абылай хана д. 56А
337,пр. Абылай хана д. 58
338,пр. Абылай хана д. 60
339,пр. Абылай хана д. 62
340,пр. Абылай хана д. 64
341,пр. Бауыржан Момышұлы д. 2Г блок 1
342,пр. Бауыржан Момышұлы д. 2Г блок 2
343,пр. Бауыржан Момышұлы д. 2
344,пр. Бауыржан Момышұлы д. 2А
345,пр. Бауыржан Момышұлы д. 2Б
346,пр. Бауыржан Момышұлы д. 2В
347,пр. Бауыржан Момышұлы д. 2/6
348,пр. Бауыржан Момышұлы д. 2/7
349,пр. Бауыржан Момышұлы д. 2/8
350,пр. Бауыржан Момышұлы д. 2/9
351,пр. Бауыржан Момышұлы д. 2/10
352,пр. Бауыржан Момышұлы д. 4
353,пр. Бауыржан Момышұлы д. 6/1
354,пр. Бауыржан Момышұлы д. 6/2
355,пр. Бауыржан Момышұлы д. 6/3
356,пр. Бауыржан Момышұлы д. 7
357,пр. Бауыржан Момышұлы д. 8/1
358,пр. Бауыржан Момышұлы д. 9
359,пр. Бауыржан Момышұлы д. 10/1
360,пр. Бауыржан Момышұлы д. 10/2
361,пр. Бауыржан Момышұлы д. 11
362,пр. Бауыржан Момышұлы д. 12
363,пр. Бауыржан Момышұлы д. 13
364,пр. Бауыржан Момышұлы д. 13А
365,пр. Бауыржан Момышұлы д. 13/1
366,пр. Бауыржан Момышұлы д. 13/2
367,пр. Бауыржан Момышұлы д. 13/3
368,пр. Бауыржан Момышұлы д. 14
369,пр. Бауыржан Момышұлы д. 15А
370,пр. Бауыржан Момышұлы д. 15/2
371,пр. Бауыржан Момышұлы д. 15/3
372,пр. Бауыржан Момышұлы д. 16
373,пр. Бауыржан Момышұлы зд. 16/1
374,пр. Бауыржан Момышұлы д. 17
375,пр. Бауыржан Момышұлы д. 17/2
376,пр. Бауыржан Момышұлы д. 18
377,пр. Бауыржан Момышұлы д. 18/1
378,пр. Бауыржан Момышұлы д. 19
379,пр. Бауыржан Момышұлы д. 19/1
380,пр. Бауыржан Момышұлы д. 19/2
381,пр. Бауыржан Момышұлы д. 23
382,пр. Бауыржан Момышұлы д. 25
383,пр. Бауыржан Момышұлы д. 27
384,пр. Мағжан Жұмабаев д. 1
385,пр. Мағжан Жұмабаев д. 2
386,пр. Мағжан Жұмабаев д. 3
387,пр. Мағжан Жұмабаев д. 3/1
388,пр. Мағжан Жұмабаев д. 4/2
389,пр. Мағжан Жұмабаев д. 5
390,пр. Мағжан Жұмабаев д. 5/1
391,пр. Мағжан Жұмабаев зд. 5/2
392,пр. Мағжан Жұмабаев д. 6
393,пр. Мағжан Жұмабаев д. 7/1
394,пр. Мағжан Жұмабаев д. 9
395,пр. Мағжан Жұмабаев д. 9/1
396,пр. Мағжан Жұмабаев д. 9/2
397,пр. Мағжан Жұмабаев д. 11
398,пр. Мағжан Жұмабаев д. 12
399,пр. Мағжан Жұмабаев д. 12А
400,пр. Мағжан Жұмабаев д. 12/1
401,пр. Мағжан Жұмабаев д. 13/1
402,пр. Мағжан Жұмабаев д. 14/1
403,пр. Мағжан Жұмабаев д. 16
404,пр. Мағжан Жұмабаев д. 16/1
405,пр. Мағжан Жұмабаев д. 16/2
406,пр. Мағжан Жұмабаев д. 16/3
407,пр. Мағжан Жұмабаев д. 16/4
408,пр. Мағжан Жұмабаев д. 18
409,пр. Мағжан Жұмабаев д. 18/1
410,пр. Рақымжан Қошқарбаев д. 13 блок 1
411,пр. Рақымжан Қошқарбаев д. 13 блок 2
412,пр. Рақымжан Қошқарбаев д. 2
413,пр. Рақымжан Қошқарбаев д. 13 блок 3
414,пр. Рақымжан Қошқарбаев д. 8
415,пр. Рақымжан Қошқарбаев д. 10
416,пр. Рақымжан Қошқарбаев д. 10/1
417,пр. Рақымжан Қошқарбаев д. 15
418,пр. Рақымжан Қошқарбаев д. 23
419,пр. Рақымжан Қошқарбаев д. 25
420,пр. Рақымжан Қошқарбаев д. 26
421,пр. Рақымжан Қошқарбаев д. 27
422,пр. Рақымжан Қошқарбаев д. 27/1
423,пр. Рақымжан Қошқарбаев д. 27/2
424,пр. Рақымжан Қошқарбаев д. 28
425,пр. Рақымжан Қошқарбаев д. 29
426,пр. Рақымжан Қошқарбаев д. 31
427,пр. Рақымжан Қошқарбаев д. 32
428,пр. Рақымжан Қошқарбаев д. 32/2
429,пр. Рақымжан Қошқарбаев д. 32/3
430,пр. Рақымжан Қошқарбаев д. 32/4
431,пр. Рақымжан Қошқарбаев д. 34
432,пр. Рақымжан Қошқарбаев д. 37
433,пр. Рақымжан Қошқарбаев д. 39
434,пр. Рақымжан Қошқарбаев д. 40
435,пр. Рақымжан Қошқарбаев д. 40/1
436,пр. Рақымжан Қошқарбаев д. 41
437,пр. Рақымжан Қошқарбаев д. 42
438,пр. Рақымжан Қошқарбаев д. 43
439,пр. Рақымжан Қошқарбаев д. 43/2
440,пр. Рақымжан Қошқарбаев д. 44
441,пр. Рақымжан Қошқарбаев д. 45
442,пр. Рақымжан Қошқарбаев д. 45А
443,пр. Рақымжан Қошқарбаев д. 45Б
444,пр. Рақымжан Қошқарбаев д. 45/1
445,пр. Рақымжан Қошқарбаев д. 46
446,пр. Рақымжан Қошқарбаев д. 46/1
447,пр. Рақымжан Қошқарбаев д. 46/2
448,пр. Рақымжан Қошқарбаев д. 48
449,пр. Рақымжан Қошқарбаев д. 50
450,пр. Рақымжан Қошқарбаев д. 50/1
451,пр. Рақымжан Қошқарбаев д. 54А
452,пр. Рақымжан Қошқарбаев д. 56
453,пр. Рақымжан Қошқарбаев д. 60
454,пр. Рақымжан Қошқарбаев д. 68
455,пр. Рақымжан Қошқарбаев д. 80
456,пр. Рақымжан Қошқарбаев д. 80/1
457,пр. Тәуелсіздік д. 4/1
458,пр. Тәуелсіздік д. 4/3
459,пр. Тәуелсіздік д. 6/1
460,пр. Тәуелсіздік д. 6/2
461,пр. Тәуелсіздік д. 6/3
462,пр. Тәуелсіздік д. 8
463,пр. Тәуелсіздік д. 12
464,пр. Тәуелсіздік д. 12/1
465,пр. Тәуелсіздік д. 12/2
466,пр. Тәуелсіздік д. 14
467,пр. Тәуелсіздік д. 14/1
468,пр. Тәуелсіздік д. 14/2
469,пр. Тәуелсіздік д. 16
470,пр. Тәуелсіздік д. 20
471,пр. Тәуелсіздік д. 21
472,пр. Тәуелсіздік д. 21/2
473,пр. Тәуелсіздік д. 21/4
474,пр. Тәуелсіздік д. 21/5
475,пр. Тәуелсіздік д. 21/6
476,пр. Тәуелсіздік д. 21/9
477,пр. Тәуелсіздік д. 22
478,пр. Тәуелсіздік д. 23
479,пр. Тәуелсіздік д. 24А
480,пр. Тәуелсіздік д. 24Б
481,пр. Тәуелсіздік д. 26
482,пр. Тәуелсіздік д. 26/1
483,пр. Тәуелсіздік д. 28
484,пр. Тәуелсіздік д. 31/2
485,пр. Тәуелсіздік д. 31/3
486,пр. Тәуелсіздік д. 31/4
487,пр. Тәуелсіздік зд. 33
488,пр. Тәуелсіздік д. 33/1
489,пр. Тәуелсіздік д. 34/1
490,пр. Тәуелсіздік д. 34/2
491,пр. Тәуелсіздік д. 34/9
492,пр. Тәуелсіздік д. 34/10
493,пр. Тәуелсіздік д. 35
494,пр. Тәуелсіздік д. 38/2
495,пр. Тәуелсіздік д. 39
496,пр. Тәуелсіздік д. 43
497,пр. Тәуелсіздік д. 43/3
498,пр. Тәуелсіздік д. 45/1
499,пр. Шәкәрім Құдайбердіұлы д. 2
500,пр. Шәкәрім Құдайбердіұлы д. 2А
501,пр. Шәкәрім Құдайбердіұлы д. 2Б
502,пр. Шәкәрім Құдайбердіұлы д. 2В
503,пр. Шәкәрім Құдайбердіұлы д. 2Ю
504,пр. Шәкәрім Құдайбердіұлы д. 2/1
505,пр. Шәкәрім Құдайбердіұлы д. 2/2
506,пр. Шәкәрім Құдайбердіұлы д. 2/4
507,пр. Шәкәрім Құдайбердіұлы д. 2/6
508,пр. Шәкәрім Құдайбердіұлы д. 2/7
509,пр. Шәкәрім Құдайбердіұлы д. 3
510,пр. Шәкәрім Құдайбердіұлы д. 4
511,пр. Шәкәрім Құдайбердіұлы зд. 4/3
512,пр. Шәкәрім Құдайбердіұлы д. 4/4
513,пр. Шәкәрім Құдайбердіұлы д. 5
514,пр. Шәкәрім Құдайбердіұлы д. 14
515,пр. Шәкәрім Құдайбердіұлы д. 17
516,пр. Шәкәрім Құдайбердіұлы д. 17/3
517,пр. Шәкәрім Құдайбердіұлы д. 17/4
