,text
47,мкр. Айгерим-1 ул. МТФ-1 д. 20
48,мкр. Айгерим-1 ул. МТФ-1 д. 34
49,мкр. Айгерим-1 ул. Саги Ашимов д. 169
50,мкр. Айгерим-2 ул. Байтерек д. 1А
51,мкр. Айгерим-2 ул. Бугыты д. 57
52,мкр. Акбулак ул. Абая д. 4
53,мкр. Акбулак ул. Жандилдина д. 9
54,мкр. Акбулак ул. Сарайшык д. 8
55,мкр. Акбулак ул. Сарайшык д. 30
56,мкр. Акбулак ул. Сейдолла Бјйтереков д. 43
57,мкр. Акбулак ул. Сейдолла Бјйтереков д. 43/1
58,мкр. Акбулак ул. Сейдолла Бјйтереков д. 43/2
59,мкр. Акбулак ул. Сейдолла Бјйтереков д. 45
60,мкр. Акбулак ул. Сейдолла Бјйтереков д. 47
61,мкр. Акбулак ул. Сейдолла Бјйтереков д. 49А
62,мкр. Акбулак ул. Сейдолла Бјйтереков д. 51
63,мкр. Акбулак ул. Сейдолла Бјйтереков д. 53
64,мкр. Акбулак ул. Сейдолла Бјйтереков д. 55
65,мкр. Акбулак ул. Сейдолла Бјйтереков д. 57
66,мкр. Акбулак ул. Сейдолла Бјйтереков д. 59
67,мкр. Акбулак ул. Сейдолла Бјйтереков д. 61
68,мкр. Акбулак ул. Сейдолла Бјйтереков д. 63
69,мкр. Акбулак ул. Сейдолла Бјйтереков д. 69
70,мкр. Акбулак ул. Сейдолла Бјйтереков д. 71
71,мкр. Акбулак ул. Сейдолла Бјйтереков д. 73
72,мкр. Акбулак ул. Сейдолла Бјйтереков д. 75
73,мкр. Акбулак ул. Сейдолла Бјйтереков д. 77
74,мкр. Акбулак ул. Сейдолла Бјйтереков д. 81
75,мкр. Акбулак ул. Сейдолла Бјйтереков д. 83
76,мкр. Акбулак ул. Сейдолла Бјйтереков д. 85
77,мкр. Акбулак ул. Сейдолла Бјйтереков д. 87
78,мкр. Акбулак ул. Сейдолла Бјйтереков д. 89
79,мкр. Акбулак ул. Сейдолла Бјйтереков д. 91
80,мкр. Акбулак ул. Сейдолла Бјйтереков д. 93
81,мкр. Акбулак ул. Сейдолла Бјйтереков д. 95
82,мкр. Акбулак ул. Сейдолла Бјйтереков д. 97
83,мкр. Акбулак ул. Сейдолла Бјйтереков д. 99
84,мкр. Акбулак ул. Сейдолла Бјйтереков д. 103
85,мкр. Акбулак ул. Сейдолла Бјйтереков д. 105
86,мкр. Акбулак ул. Сейдолла Бјйтереков д. 107
87,мкр. Акбулак ул. Сейдолла Бјйтереков д. 109
88,мкр. Акбулак ул. Сейдолла Бјйтереков д. 111
89,мкр. Акбулак ул. Сейдолла Бјйтереков д. 113
90,мкр. Акбулак ул. Сейдолла Бјйтереков д. 115
91,мкр. Акбулак ул. Сейдолла Бјйтереков д. 117
92,мкр. Акбулак ул. Сейдолла Бјйтереков д. 119
93,мкр. Акбулак ул. Сейдолла Бјйтереков д. 121
94,мкр. Акбулак ул. Сейдолла Бјйтереков д. 123
95,мкр. Акбулак ул. Суатколь д. 27
96,мкр. Акбулак ул. Суатколь д. 29
97,мкр. Акбулак ул. Суатколь д. 31
98,мкр. Акбулак ул. Суатколь д. 33
99,мкр. Акбулак ул. Суатколь д. 33/1
100,мкр. Акбулак ул. Суатколь д. 35
101,мкр. Акбулак ул. Суатколь д. 35/1
102,мкр. Акбулак ул. Суатколь д. 37
103,мкр. Акбулак ул. Хан шатыр д. 3
104,мкр. Акбулак ул. Чуланова д. 117
105,мкр. Акбулак ул. Чуланова д. 119
106,мкр. Акбулак ул. Чуланова д. 121
107,мкр. Акбулак ул. Чуланова д. 123
108,мкр. Акбулак ул. Чуланова д. 125
109,мкр. Акбулак ул. Чуланова д. 127
110,мкр. Акбулак ул. Чуланова д. 129
111,мкр. Акбулак ул. Чуланова д. 131
112,мкр. Акбулак ул. Чуланова д. 137
113,мкр. Акбулак ул. Чуланова д. 139
114,мкр. Акбулак ул. Чуланова д. 141
115,мкр. Акбулак ул. Чуланова д. 143
116,мкр. Акбулак ул. Чуланова д. 145
117,мкр. Акбулак ул. Чуланова д. 147
118,мкр. Акбулак ул. Чуланова д. 149
119,мкр. Акбулак ул. Чуланова д. 151
120,мкр. Акбулак ул. Чуланова д. 153
121,мкр. Акбулак ул. Чуланова д. 155
122,мкр. Акбулак ул. Чуланова д. 157
123,мкр. Акбулак ул. Шарипова д. 15
124,мкр. Акбулак ул. Шарипова д. 17
125,мкр. Акбулак ул. Шарипова д. 25
126,мкр. Акбулак д. 5
127,мкр. Акбулак д. 6
128,мкр. Акбулак д. 7
129,мкр. Акбулак д. 8
130,мкр. Акбулак д. 9
131,мкр. Аккент д. 2
132,мкр. Аккент д. 3
133,мкр. Аккент д. 4
134,мкр. Аккент д. 5
135,мкр. 1 д. 12
136,мкр. 1 д. 13
137,мкр. 1 д. 14
138,мкр. 1 д. 15
139,мкр. 1 д. 16
140,мкр. 1 д. 17
141,мкр. 1 д. 18
142,мкр. 1 д. 18А
143,мкр. 1 д. 19
144,мкр. 1 д. 19А
145,мкр. 1 д. 20
146,мкр. 1 д. 21
147,мкр. 1 д. 21А
148,мкр. 1 д. 22
149,мкр. 1 д. 23
150,мкр. 1 д. 24
151,мкр. 1 д. 25
152,мкр. 1 д. 26
153,мкр. 1 д. 26А
154,мкр. 1 д. 27
155,мкр. 1 д. 28
156,мкр. 1 д. 29
157,мкр. 1 д. 30
158,мкр. 1 д. 31
159,мкр. 1 д. 32
160,мкр. 1 д. 33
161,мкр. 1 д. 34
162,мкр. 1 д. 35
163,мкр. 1 д. 36
164,мкр. 1 д. 37
165,мкр. 1 д. 38
166,мкр. 1 д. 39
167,мкр. 1 д. 39А
168,мкр. 1 д. 40
169,мкр. 1 д. 41
170,мкр. 1 д. 41А
171,мкр. 1 д. 42
172,мкр. 1 д. 43
173,мкр. 1 д. 44
174,мкр. 1 д. 45
175,мкр. 1 д. 45А
176,мкр. 1 д. 46
177,мкр. 1 д. 47
178,мкр. 1 д. 48
179,мкр. 1 д. 49
180,мкр. 1 д. 50
181,мкр. 1 д. 51
182,мкр. 1 д. 51А
183,мкр. 1 д. 52
184,мкр. 1 д. 53
185,мкр. 1 д. 54
186,мкр. 1 д. 54А
187,мкр. 1 д. 55
188,мкр. 1 д. 56
189,мкр. 1 д. 56А
190,мкр. 1 д. 57
191,мкр. 1 д. 58
192,мкр. 1 д. 59
193,мкр. 1 д. 60
194,мкр. 1 д. 61
195,мкр. 1 д. 62
196,мкр. 1 д. 63
197,мкр. 1 д. 64
198,мкр. 1 д. 65
199,мкр. 1 д. 66
200,мкр. 1 д. 67
201,мкр. 1 д. 68
202,мкр. 1 д. 68/3
203,мкр. 1 д. 68/4
204,мкр. 1 д. 69
205,мкр. 1 д. 73
206,мкр. 1 д. 73А
207,мкр. 1 д. 74
208,мкр. 1 д. 75
209,мкр. 1 д. 76
210,мкр. 1 д. 77
211,мкр. 1 д. 78
212,мкр. 1 д. 79
213,мкр. 1 д. 80
214,мкр. 10 д. 1
215,мкр. 10 д. 2
216,мкр. 10 д. 2А
217,мкр. 10 д. 3
218,мкр. 10 д. 3А
219,мкр. 10 д. 4
220,мкр. 10 д. 5
221,мкр. 10 д. 5А
222,мкр. 10 д. 6
223,мкр. 10 д. 7
224,мкр. 10 д. 7А
225,мкр. 10 д. 7/2
226,мкр. 10 д. 7/3
227,мкр. 10 д. 8
228,мкр. 10 д. 8А
229,мкр. 10 д. 8Б
230,мкр. 10 д. 8В
231,мкр. 10 д. 8Г
232,мкр. 10 д. 9
233,мкр. 10 д. 9А
234,мкр. 10 д. 10
235,мкр. 10 д. 11
236,мкр. 10 д. 12
237,мкр. 10 д. 13
238,мкр. 10 д. 14
239,мкр. 10 д. 15
240,мкр. 10 д. 15А
241,мкр. 10 д. 15Б
242,мкр. 10 д. 16
243,мкр. 10 д. 17
244,мкр. 10 д. 17/1
245,мкр. 10 д. 17/2
246,мкр. 10 д. 18
247,мкр. 10 д. 19
248,мкр. 10 д. 20
249,мкр. 10 д. 21
250,мкр. 10 д. 22
251,мкр. 10 д. 23
252,мкр. 10 д. 23А
253,мкр. 10а д. 1
254,мкр. 10а д. 2
255,мкр. 10а д. 3
256,мкр. 10а д. 4
257,мкр. 10а д. 5
258,мкр. 10а д. 6
259,мкр. 10а д. 7
260,мкр. 10а д. 8
261,мкр. 10а д. 9
262,мкр. 10а д. 10
263,мкр. 10а д. 11
264,мкр. 10а д. 11/15
265,мкр. 10а д. 12
266,мкр. 10а д. 12Б
267,мкр. 10а д. 13
268,мкр. 10а д. 14
269,мкр. 10а д. 15
270,ул. Навои д. 308/2
271,ул. Навои д. 308/3
272,ул. Навои д. 308/4
273,ул. Навои д. 308/5
274,ул. Навои д. 308/6
275,ул. Навои д. 308/7
276,ул. Навои д. 308/8
277,ул. Навои д. 308/9
278,ул. Навои д. 308/10
279,ул. Навои д. 308/11
280,ул. Навои д. 310
281,ул. Навои д. 310А
282,ул. Навои д. 312
283,ул. Навои д. 312А
284,ул. Навои д. 314
285,ул. Навои д. 314А
286,ул. Навои д. 314Б
287,ул. Навои д. 316
288,ул. Навои д. 318
289,ул. Навои д. 320
290,ул. Навои д. 322
291,ул. Навои д. 323
292,ул. Навои д. 324
293,ул. Навои д. 326
294,ул. Навои д. 328
295,ул. Наурызбай батыра д. 152
296,ул. Нахимова д. 16
297,ул. Невского д. 5
298,ул. Нўрлы Жол д. 183А
299,ул. Нўрлы Жол д. 189
300,ул. Нўрлы Жол д. 189/1
301,ул. Озтюрка д. 2/67
302,ул. Озтюрка д. 3
303,ул. Озтюрка д. 4
304,ул. Озтюрка д. 5
305,ул. Озтюрка д. 6
306,ул. Озтюрка д. 8
307,ул. Озтюрка д. 9А
308,ул. Озтюрка д. 11
309,ул. Озтюрка д. 12
310,ул. Озтюрка д. 13
311,ул. Панфилова д. 196
312,ул. Панфилова д. 197
313,ул. Панфилова д. 198
314,ул. Панфилова д. 199
315,ул. Панфилова д. 200
316,ул. Панфилова д. 201А
317,ул. Панфилова д. 203
318,ул. Панфилова д. 204
319,ул. Панфилова д. 204А
320,ул. Панфилова д. 208А
321,ул. Панфилова д. 210
322,ул. Панфилова д. 211
323,ул. Пирогова д. 12
324,ул. Пирогова д. 32
325,ул. плещеева д. 15
326,ул. Попова д. 1/25
327,ул. Попова д. 3А
328,ул. Попова д. 5
329,ул. Попова д. 7/52
330,ул. Попова д. 9
331,ул. Попова д. 11
332,ул. Попова д. 13
333,ул. Попова д. 15
334,ул. Попова д. 15/1
335,ул. Попова д. 15/2
336,ул. Попова д. 17/6
337,ул. Попова д. 21
338,ул. Пчеловодная д. 19
339,ул. Радостовца д. 152/3 корпус 1
340,ул. Радостовца д. 124
341,ул. Радостовца д. 152
342,ул. Радостовца д. 152Б
343,ул. Радостовца д. 152В
344,ул. Радостовца д. 152Г
345,ул. Радостовца д. 152Д
346,ул. Радостовца д. 152Е
347,ул. Радостовца д. 152К
348,ул. Радостовца д. 152Л
349,ул. Радостовца д. 152/1
350,ул. Радостовца д. 152/2
351,ул. Радостовца д. 152/4
352,ул. Радостовца д. 152/5
353,ул. Радостовца д. 152/10
354,ул. Радостовца д. 152/11
355,ул. Радостовца д. 152/12
356,ул. Радостовца д. 152/14
357,ул. Радостовца д. 154А
358,ул. Радостовца д. 158
359,ул. Радостовца д. 158/1
360,ул. Радостовца д. 163
361,ул. Радостовца д. 163А
362,ул. Радостовца д. 167А
363,ул. Радостовца д. 169А
364,ул. Радостовца д. 170
365,ул. Радостовца д. 171
366,ул. Радостовца д. 171А
367,ул. Радостовца д. 172
368,ул. Радостовца д. 173
369,ул. Радостовца д. 173А
370,ул. Радостовца д. 175
371,ул. Радостовца д. 175А
372,ул. Радостовца д. 177
373,ул. Радостовца д. 177Б
374,ул. Радостовца д. 179А
375,ул. Радостовца д. 183
376,ул. Радостовца д. 185
377,ул. Радостовца д. 187
378,ул. Радостовца д. 187А
379,ул. Радостовца д. 189
380,ул. Радостовца д. 191
381,ул. Радостовца д. 193
382,ул. Радостовца д. 195
383,ул. Радостовца д. 197
384,ул. Радостовца д. 197А
385,ул. Радостовца д. 198
386,ул. Радостовца д. 199
387,ул. Радостовца д. 199А
388,ул. Радостовца д. 200А
389,ул. Радостовца д. 201
390,ул. Радостовца д. 203
391,ул. Радостовца д. 203А
392,ул. Радостовца д. 223
393,ул. Радостовца д. 230
394,ул. Радостовца д. 234
395,ул. Радостовца д. 240/5
396,ул. Радостовца д. 250
397,ул. Радостовца д. 252
398,ул. Радостовца д. 255
399,ул. Радостовца д. 267
400,ул. Радостовца д. 271
401,ул. Радостовца д. 273
402,ул. Радостовца д. 277
403,ул. Радостовца д. 360
404,ул. Радостовца д. 362
405,пр. Сейфуллина д. 455
406,пр. Суюнбая д. 10/17
407,пр. Суюнбая д. 12
408,пр. Суюнбая д. 14
409,пр. Суюнбая д. 16
410,пр. Суюнбая д. 17
411,пр. Суюнбая д. 17А
412,пр. Суюнбая д. 21А
413,пр. Суюнбая д. 23
414,пр. Суюнбая д. 27
415,пр. Суюнбая д. 29
416,пр. Суюнбая д. 31
417,пр. Суюнбая д. 43А
418,пр. Суюнбая д. 46А
419,пр. Суюнбая д. 47
420,пр. Суюнбая д. 115
421,пр. Суюнбая д. 119
422,пр. Суюнбая д. 121
423,пр. Суюнбая д. 157
424,пр. Суюнбая д. 157А
425,пр. Суюнбая д. 157/6
426,ул. Абдирова д. 34
427,ул. Абдирова д. 36
428,ул. Абдирова д. 45
429,ул. Абдирова д. 51
430,ул. Азовская д. 4
431,ул. Азовская д. 12
432,ул. Азовская д. 14
433,ул. Азовская д. 18
434,ул. Азовская д. 21
435,ул. Азовская д. 23
436,ул. Акпаева д. 29
437,ул. Акпаева д. 54
438,ул. Акпаева д. 56
439,ул. Акпаева д. 58
440,ул. Акпаева д. 59Б
441,ул. Акпаева д. 59/1
442,ул. Акпаева д. 59/10
443,ул. Акпаева д. 60
444,ул. Акпаева д. 62
445,ул. Акпаева д. 64
446,ул. Алябьева д. 1
447,ул. Алябьева д. 5/5
448,ул. Аргымак д. 1
449,ул. Аргымак д. 4
450,ул. Аргымак д. 32
451,ул. Аргымак д. 34
452,ул. Аргымак д. 36
453,ул. Ачинская д. 28
454,ул. Баишева д. 100А
455,ул. Баишева д. 143
456,ул. Белорусская д. 40
457,ул. Белорусская д. 69
458,ул. Белорусская д. 71
459,ул. Беспакова Мукатая д. 60А
460,ул. Беспакова Мукатая д. 62А
461,ул. Бокейханова д. 13
462,ул. Бокейханова д. 19
463,ул. Бокейханова д. 19А
464,ул. Бокейханова д. 19Б
465,ул. Бокейханова д. 21
466,ул. Бокейханова д. 51
467,ул. Бокейханова д. 158
468,ул. Бокейханова д. 190
469,ул. Борзова д. 11
470,ул. Борзова д. 11А
471,ул. Борзова д. 11/11
472,ул. Борзова д. 18/1
473,ул. Борзова д. 44
474,ул. Борзова д. 67
475,ул. Ботаническая д. 18
476,ул. Ботаническая д. 30
477,ул. Ботаническая д. 31
478,ул. Ботаническая д. 31А
479,ул. Ботаническая д. 31Б
480,ул. Ботаническая д. 33
481,ул. Ботаническая д. 36
482,ул. Боткина д. 1А
483,ул. Боткина д. 2
484,ул. Боткина д. 3
485,ул. Боткина д. 4/2
486,ул. Боткина д. 5
487,ул. Боткина д. 6
488,ул. Боткина д. 7
489,ул. Боткина д. 8/10
490,ул. Боткина д. 9/7
491,ул. Боткина д. 10/9
492,ул. Боткина д. 11
493,ул. Боткина д. 12
494,ул. Боткина д. 12А
495,ул. Боткина д. 13
496,ул. Боткина д. 14/2
497,ул. Боткина д. 15
498,ул. Боткина д. 17
499,ул. Боткина д. 18
500,ул. Бродского д. 36
501,ул. Брюсова д. 1
502,ул. Булкушева д. 3Б
503,ул. Булкушева д. 4
504,ул. Булкушева д. 8
505,ул. Булкушева д. 10
506,ул. Булкушева д. 11
507,ул. Булкушева д. 12
508,ул. Бурундайская д. 7
509,ул. Бурундайская д. 17
510,ул. Бурундайская д. 95
511,ул. Бухарская д. 59
512,ул. Венецианова д. 3
513,ул. Венецианова д. 6
514,ул. Венецианова д. 57
515,ул. Венецианова д. 61
516,ул. Венецианова д. 65
517,ул. Венецианова д. 67
518,ул. Верди д. 6
519,ул. Верди д. 16/5
520,ул. Волочаевская д. 355
521,ул. Вольная д. 3А
522,ул. Вольная д. 5
523,ул. Вольная д. 7
524,ул. Вольная д. 9
525,ул. Вольная д. 16
526,ул. Галилея д. 2
527,ул. Галилея д. 4
528,ул. Геологов д. 1
529,ул. Геологов д. 3
530,ул. Геологов д. 4
531,ул. Геологов д. 5
532,ул. Геологов д. 6
533,ул. Геологов д. 7
534,ул. Геологов д. 8
535,ул. Геологов д. 9
536,ул. Геологов д. 10
537,ул. Геологов д. 11
538,ул. Герцена д. 46
539,ул. Гончарова д. 1/1
540,мкр. Орбита-1 д. 9
541,мкр. Орбита-1 д. 10
542,мкр. Орбита-1 д. 11
543,мкр. Орбита-1 д. 12
544,мкр. Орбита-1 д. 13
545,мкр. Орбита-1 д. 14
546,мкр. Орбита-1 д. 15
547,мкр. Орбита-1 д. 15/29
548,мкр. Орбита-1 д. 16
549,мкр. Орбита-1 д. 17
550,мкр. Орбита-1 д. 18
551,мкр. Орбита-1 д. 19
552,мкр. Орбита-1 д. 20
553,мкр. Орбита-1 д. 21
554,мкр. Орбита-1 д. 22
555,мкр. Орбита-1 д. 23
556,мкр. Орбита-1 д. 24
557,мкр. Орбита-1 д. 25
558,мкр. Орбита-1 д. 26
559,мкр. Орбита-1 д. 27
560,мкр. Орбита-1 д. 28
561,мкр. Орбита-1 д. 29
562,мкр. Орбита-1 д. 30
563,мкр. Орбита-1 д. 31
564,мкр. Орбита-1 д. 32
565,мкр. Орбита-1 д. 33
566,мкр. Орбита-1 д. 34
567,мкр. Орбита-1 д. 35
568,мкр. Орбита-1 д. 36
569,мкр. Орбита-1 д. 37
570,мкр. Орбита-1 д. 38
571,мкр. Орбита-2 д. 1
572,мкр. Орбита-2 д. 2
573,мкр. Орбита-2 д. 3
574,мкр. Орбита-2 д. 4
575,мкр. Орбита-2 д. 5
576,мкр. Орбита-2 д. 6
577,мкр. Орбита-2 д. 7
578,мкр. Орбита-2 д. 8
579,мкр. Орбита-2 д. 9
580,мкр. Орбита-2 д. 10
581,мкр. Орбита-2 д. 11
582,мкр. Орбита-2 д. 12
583,мкр. Орбита-2 д. 13
584,мкр. Орбита-2 д. 14
585,мкр. Орбита-2 д. 15
586,мкр. Орбита-2 д. 16
587,мкр. Орбита-2 д. 17
588,мкр. Орбита-2 д. 17А
589,мкр. Орбита-2 д. 17В
590,мкр. Орбита-2 д. 18
591,мкр. Орбита-2 д. 19
592,мкр. Орбита-2 д. 21
593,мкр. Орбита-2 д. 22
594,мкр. Орбита-2 д. 23
595,мкр. Орбита-2 д. 24
596,мкр. Орбита-2 д. 25
597,мкр. Орбита-2 д. 26
598,мкр. Орбита-2 д. 27
599,мкр. Орбита-2 д. 28
600,мкр. Орбита-2 д. 28А
601,мкр. Орбита-2 д. 28Б
602,мкр. Орбита-2 д. 28В
603,мкр. Орбита-2 д. 29
604,мкр. Орбита-2 д. 29А
605,мкр. Орбита-2 д. 30
606,мкр. Орбита-2 д. 31
607,мкр. Орбита-2 д. 32
608,мкр. Орбита-2 д. 33
609,мкр. Орбита-2 д. 34
610,мкр. Орбита-2 д. 35
611,мкр. Орбита-2 д. 36
612,мкр. Орбита-2 д. 37
613,мкр. Орбита-2 д. 38
614,мкр. Орбита-3 д. 1
615,мкр. Орбита-3 д. 2
616,мкр. Орбита-3 д. 3
617,мкр. Орбита-3 д. 4
618,мкр. Орбита-3 д. 5
619,мкр. Орбита-3 д. 6
620,мкр. Орбита-3 д. 7
621,мкр. Орбита-3 д. 7А
622,мкр. Орбита-3 д. 8
623,мкр. Орбита-3 д. 13
624,мкр. Орбита-3 д. 16
625,мкр. Орбита-3 д. 19
626,мкр. Орбита-3 д. 20
627,мкр. Орбита-3 д. 21
628,мкр. Орбита-3 д. 22
629,мкр. Орбита-3 д. 24
630,мкр. Орбита-3 д. 25
631,мкр. Орбита-3 д. 26
632,мкр. Орбита-3 д. 28
633,мкр. Орбита-3 д. 29
634,мкр. Орбита-3 д. 30
635,мкр. Орбита-3 д. 31
636,мкр. Орбита-3 д. 33
637,мкр. Орбита-3 д. 36
638,мкр. Орбита-3 д. 37
639,мкр. Орбита-3 д. 38
640,мкр. Орбита-3 д. 39
641,мкр. Орбита-3 д. 40
642,мкр. Орбита-3 д. 41
643,мкр. Орбита-3 д. 42
644,мкр. Орбита-3 д. 43
645,мкр. Орбита-3 д. 46
646,мкр. Орбита-3 д. 47
647,мкр. Орбита-3 д. 48
648,мкр. Орбита-3 д. 49
649,мкр. Орбита-3 д. 50
650,мкр. Орбита-3 д. 51
651,мкр. Орбита-3 д. 52
652,мкр. Орбита-3 д. 52/2
653,мкр. Орбита-3 д. 55/2
654,мкр. Орбита-4 д. 1
655,мкр. Орбита-4 д. 2
656,мкр. Орбита-4 д. 3
657,мкр. Орбита-4 д. 4
658,мкр. Орбита-4 д. 5
659,мкр. Орбита-4 д. 6
660,мкр. Орбита-4 д. 7
661,мкр. Орбита-4 д. 8
662,мкр. Орбита-4 д. 9
663,мкр. Орбита-4 д. 10
664,мкр. Орбита-4 д. 11
665,мкр. Орбита-4 д. 15
666,мкр. Орбита-4 д. 16
667,мкр. Орбита-4 д. 17
668,мкр. Орбита-4 д. 18
669,мкр. Орбита-4 д. 19
670,мкр. Орбита-4 д. 20
671,мкр. Орбита-4 д. 21
672,мкр. Орбита-4 д. 22
673,мкр. Орбита-4 д. 23
674,мкр. Орбита-4 д. 24
675,ул. Кассина д. 148
676,ул. Кассина д. 148А
677,ул. Кассина д. 148Б
678,ул. Кассина д. 148В
679,ул. Кассина д. 152
680,ул. Кассина д. 152А
681,ул. Кассина д. 152Б
682,ул. Кассина д. 154
683,ул. Кассина д. 154А
684,ул. Кассина д. 156
685,ул. Кассина д. 158
686,ул. Кассина д. 158А
687,ул. Кассина д. 164
688,ул. Кассина д. 166
689,ул. Кассина д. 168
690,ул. Кассина д. 170
691,ул. Кассина д. 172
692,ул. Кипренского д. 10
693,ул. Клары Цеткин д. 74
694,ул. Клары Цеткин д. 76
695,ул. Клары Цеткин д. 93
696,ул. Кожедуба д. 1Д
697,ул. Кожедуба д. 2
698,ул. Коломенская д. 2А
699,ул. Коломенская д. 3
700,ул. Коломенская д. 5
701,ул. Котельникова д. 8/1 корпус 1
702,ул. Котельникова д. 8
703,ул. Котельникова д. 8/1
704,ул. Котельникова д. 45
705,ул. Котельникова д. 45А
706,ул. Котельникова д. 47
707,ул. Котельникова д. 47А
708,ул. Котельникова д. 64
709,ул. Красногорская д. 17
710,ул. Красногорская д. 35А
711,ул. Красногорская д. 35Б
712,ул. Красногорская д. 35В
713,ул. Красногорская д. 35Г
714,ул. Красногорская д. 71А
715,ул. Кузьмина д. 22
716,ул. Кулибина д. 4
717,ул. Кунгурская д. 2
718,ул. Кунгурская д. 4
719,ул. Кунгурская д. 6
720,ул. Кунгурская д. 10
721,ул. Магнитная д. 4
722,ул. Магнитная д. 8
723,ул. Магнитная д. 10
724,ул. Магнитная д. 12
725,ул. Магнитная д. 13
726,ул. Магнитная д. 17
727,ул. Магнитная д. 19
728,ул. Магнитная д. 21
729,ул. Магнитная д. 23
730,ул. Майлина д. 5
731,ул. Майлина д. 7
732,ул. Майлина д. 8
733,ул. Майлина д. 9/10
734,ул. Майлина д. 10
735,ул. Майлина д. 12
736,ул. Майлина д. 14
737,ул. Майлина д. 15
738,ул. Майлина д. 16
739,ул. Майлина д. 17
740,ул. Майлина д. 18
741,ул. Майлина д. 19
742,ул. Майлина д. 20
743,ул. Майлина д. 22
744,ул. Майлина д. 24
745,ул. Майлина д. 26
746,ул. Майлина д. 28
747,ул. Майлина д. 28/19
748,ул. Майлина д. 30
749,ул. Майлина д. 32
750,ул. Майлина д. 34
751,ул. Майлина д. 36
752,ул. Майлина д. 38
753,ул. Майлина д. 44
754,ул. Майлина д. 54
755,ул. Майлина д. 67
756,ул. Майлина д. 69
757,ул. Майлина д. 69/1
758,ул. Майлина д. 71
759,ул. Майлина д. 72
760,ул. Майлина д. 73
761,ул. Майлина д. 75
762,ул. Майлина д. 77
763,ул. Майлина д. 80
764,ул. Майлина д. 82
765,ул. Майлина д. 95
766,ул. Майлина д. 95/75
767,ул. Майлина д. 97
768,ул. Майлина д. 99
769,ул. Майлина д. 101
770,ул. Майлина д. 103
771,ул. Майлина д. 105
772,ул. Майлина д. 107
773,ул. Майлина д. 109
774,ул. Майлина д. 109А
775,ул. Майлина д. 117
776,ул. Майлина д. 119
777,ул. Майлина д. 121
778,ул. Майлина д. 206
779,ул. Майлина д. 208
780,ул. Майлина д. 210
781,ул. Майлина д. 212
782,ул. Майлина д. 214
783,ул. Майлина д. 216
784,ул. Майлина д. 218
785,ул. Майлина д. 220
786,ул. Майлина д. 222
787,ул. Майлина д. 224
788,ул. Майлина д. 226
789,ул. Международная д. 34
790,ул. Международная д. 63
791,ул. Международная д. 67
792,ул. Мелитопольская д. 7
793,ул. Меншуткина д. 5
794,ул. Меншуткина д. 16
795,ул. Меркурова д. 7
796,ул. Меркурова д. 13
797,ул. Молдагалиева д. 3
798,ул. Молдагалиева д. 9
799,ул. Молдагалиева д. 10/13
800,ул. Молдагалиева д. 11
801,ул. Молдагалиева д. 12
802,ул. Молдагалиева д. 13
803,ул. Молдагалиева д. 15
804,ул. Молдагалиева д. 16А
805,ул. Молдагалиева д. 17
806,ул. Молдагалиева д. 17Б
807,ул. Молдагалиева д. 18
808,ул. Молдагалиева д. 18А
809,ул. Молдагалиева д. 19
